Country,Month,Average_Temperature
Reunion,March,26.5
Romania,March,3.4666666666666663
Russia,March,-9.86316425120773
Rwanda,March,19.15
Saint Barthélemy,March,26.0
Saint Helena,March,18.5
Saint Kitts and Nevis,March,26.0
Saint Lucia,March,26.133333333333336
Saint Martin,March,25.5
Saint Pierre and Miquelon,March,-1.0
Saint Vincent and the Grenadines,March,23.9
Samoa,March,26.0
San Marino,March,4.9
Sao Tome and Principe,March,26.360000000000003
Saudi Arabia,March,20.980555555555558
Senegal,March,27.165079365079375
Serbia,March,5.121951219512196
Seychelles,March,27.599999999999998
Sierra Leone,March,27.698780487804875
Singapore,March,27.2
Sint Maarten,March,25.3
Slovakia,March,1.6347826086956518
Slovenia,March,3.6176470588235294
Solomon Islands,March,26.4375
Somalia,March,27.277192982456135
South Africa,March,20.151228070175435
South Georgia and The South Sandwich Islands,March,4.5
South Korea,March,5.365811965811965
South Sudan,March,28.800000000000004
Spain,March,12.035507246376813
Sri Lanka,March,25.728571428571428
Sudan,March,27.54047619047619
Suriname,March,25.76923076923077
Sweden,March,-2.3078125
Switzerland,March,1.4072072072072073
Syria,March,11.544444444444444
Taiwan,March,17.68
Tajikistan,March,5.720833333333334
Tanzania,March,23.356597222222224
Thailand,March,27.684507042253514
The Bahamas,March,22.672727272727272
The Gambia,March,28.990217391304352
Togo,March,28.804166666666664
Tokelau,March,27.5
Tonga,March,26.455555555555556
Trinidad and Tobago,March,26.119999999999997
Tromelin Island,March,29.0
Tunisia,March,13.260389610389614
Turkey,March,6.90186567164179
Turkmenistan,March,8.916216216216215
Turks and Caicos Islands,March,25.0
Tuvalu,March,28.0
U.S. Virgin Islands,March,25.07777777777778
Uganda,March,22.345000000000006
Ukraine,March,2.0886363636363643
United Arab Emirates,March,21.914285714285715
United Kingdom,March,
United States of America,March,
Uruguay,March,20.662500000000005
Uzbekistan,March,8.189430894308945
Vanuatu,March,25.783333333333335
Venezuela,March,24.809917355371883
Vietnam,March,23.27169811320755
Wake Island,March,25.6
Wallis and Futuna,March,27.5
West Bank,March,10.333333333333334
Western Sahara,March,19.566666666666666
Yemen,March,25.428571428571427
Zambia,March,22.283116883116882
Zimbabwe,March,21.499999999999996
Afghanistan,April,14.561538461538468
Albania,April,12.163636363636364
Algeria,April,15.013377926421393
American Samoa,April,27.5
Andorra,April,2.8
Angola,April,22.39811320754717
Anguilla,April,27.1
Antarctica,April,-15.304166666666669
Antigua and Barbuda,April,25.661538461538463
Argentina,April,17.367465321563692
Armenia,April,6.971428571428573
Aruba,April,27.818181818181824
Ascension Island,April,27.0
Australia,April,
Austria,April,6.421495327102804
Azerbaijan,April,12.457251908396946
Bahrain,April,25.0
Bangladesh,April,28.141304347826086
Barbados,April,26.566666666666663
Belarus,April,5.988333333333332
Belgium,April,7.580645161290324
Belize,April,26.119999999999997
Benin,April,29.055263157894736
Bermuda,April,19.0
Bhutan,April,15.533333333333335
Bolivia,April,17.340555555555568
Bosnia and Herzegovina,April,8.894736842105264
Botswana,April,20.863157894736844
Brazil,April,
British Indian Ocean Territory,April,28.0
British Virgin Islands,April,25.5
Brunei,April,27.5
Bulgaria,April,8.791428571428572
Burkina Faso,April,32.35862068965516
Burundi,April,20.152173913043477
Cambodia,April,29.07575757575757
Cameroon,April,25.532374100719434
Canada,April,
Cape Verde,April,20.976190476190474
Cayman Islands,April,26.025
Central African Republic,April,26.569767441860463
Chad,April,31.384
Channel Islands,April,8.9
Chile,April,12.659322033898304
China,April,13.648824593128385
Christmas Island,April,26.05
Cocos Islands,April,27.0
Colombia,April,24.227941176470583
Comoros,April,24.759999999999998
Cook Islands,April,26.825
Costa Rica,April,25.560869565217395
Cote d'Ivoire,April,27.646376811594198
Croatia,April,11.50769230769231
Cuba,April,24.9
Curaçao,April,27.5
Cyprus,April,16.731250000000003
Czech Republic,April,6.810344827586207
Democratic Republic of the Congo,April,24.235227272727283
Denmark,April,5.383783783783784
Djibouti,April,27.826666666666668
Dominica,April,25.0
Dominican Republic,April,24.793548387096774
East Timor,April,24.75
Ecuador,April,20.70810810810811
Egypt,April,21.34107142857142
El Salvador,April,24.333333333333332
Equatorial Guinea,April,25.099999999999998
Eritrea,April,24.292857142857137
Estonia,April,3.8148148148148135
Eswatini,April,20.023809523809526
Ethiopia,April,20.727500000000006
Europa Island,April,26.0
Falkland Islands,April,6.0
Faroe Islands,April,5.0
Federated States of Micronesia,April,27.430303030303033
Fiji,April,25.625
Finland,April,0.9694444444444446
France,April,9.984651162790694
French Guiana,April,25.675
French Polynesia,April,25.704761904761902
French Southern and Antarctic Lands,April,9.6
Gabon,April,25.873529411764707
Gaza Strip,April,18.0
Georgia,April,12.244444444444445
Germany,April,7.038095238095237
Ghana,April,28.1
Gibraltar,April,16.0
Glorioso Islands,April,28.0
Greece,April,14.693975903614456
Greenland,April,-9.489285714285709
Grenada,April,26.6
Guadeloupe,April,25.3
Guam,April,26.95833333333334
Guatemala,April,22.181818181818183
Guinea,April,28.014285714285716
Guinea-Bissau,April,28.12222222222222
Guyana,April,26.286363636363628
Haiti,April,24.47575757575758
Holy See,April,12.0
Honduras,April,26.58823529411765
Hungary,April,10.34736842105263
Iceland,April,1.8275862068965518
India,April,27.398966026587892
Indian Ocean Island,April,28.0
Indonesia,April,26.69891540130152
Iran,April,15.567500000000004
Iraq,April,21.418918918918923
Ireland,April,8.26388888888889
Isle of Man,April,8.15
Israel,April,20.762962962962963
Italy,April,11.685714285714287
Jamaica,April,25.218181818181815
Japan,April,12.224880382775119
Jordan,April,17.90909090909091
Juan de Nova Island,April,28.0
Kazakhstan,April,7.907540983606552
Kenya,April,21.696062992125984
Kiribati,April,27.57
Kosovo,April,10.5
Kuwait,April,24.142857142857142
Kyrgyzstan,April,10.518181818181818
Laos,April,26.889999999999997
Latvia,April,4.109090909090909
Lebanon,April,13.777777777777779
Lesotho,April,13.016666666666667
Liberia,April,26.28
Libya,April,19.406493506493508
Liechtenstein,April,8.833333333333334
Lithuania,April,5.6000000000000005
Luxembourg,April,7.35
Macedonia,April,11.13846153846154
Madagascar,April,22.97424242424241
Malawi,April,21.707894736842103
Malaysia,April,26.77560975609756
Maldives,April,28.3
Mali,April,31.931372549019613
Malta,April,15.699999999999998
Marshall Islands,April,27.337500000000002
Martinique,April,25.475
Mauritania,April,28.241666666666664
Mauritius,April,24.993750000000002
Mayotte,April,27.0
Mexico,April,
Moldova,April,10.16
Monaco,April,10.4
Mongolia,April,1.7904109589041095
Montenegro,April,11.181818181818182
Montserrat,April,26.1
Morocco,April,15.257843137254902
Mozambique,April,24.187804878048784
Myanmar,April,28.85125
Namibia,April,20.42291666666667
Nauru,April,27.0
Nepal,April,20.723333333333343
Netherlands,April,7.609999999999999
Netherlands Antilles,April,27.075
New Caledonia,April,24.261111111111106
New Zealand,April,12.802533783783785
Nicaragua,April,27.545454545454547
Niger,April,32.1764705882353
Nigeria,April,29.483224400871485
Niue,April,25.0
Norfolk Island,April,20.0
North Korea,April,7.717948717948718
Northern Mariana Islands,April,26.75
Norway,April,2.6194395796847663
Oceania,April,24.825
Oman,April,27.72631578947368
Pakistan,April,23.18243243243243
